Word: Old, start_time: 0.2, end_time: 0.8
Word: Mother, start_time: 0.8, end_time: 1.1
Word: Goose, start_time: 1.1, end_time: 1.2
Word: when, start_time: 1.2, end_time: 1.9
Word: she, start_time: 1.9, end_time: 2.1
Word: wanted, start_time: 2.1, end_time: 2.5
Word: to, start_time: 2.5, end_time: 2.6
Word: wander, start_time: 2.6, end_time: 3.1
Word: would, start_time: 3.1, end_time: 4.0
Word: ride, start_time: 4.0, end_time: 4.5
Word: through, start_time: 4.5, end_time: 4.6
Word: the, start_time: 4.6, end_time: 4.8
Word: air, start_time: 4.8, end_time: 5.2
Word: on, start_time: 5.2, end_time: 5.4
Word: a, start_time: 5.4, end_time: 5.5
Word: very, start_time: 5.5, end_time: 5.9
Word: fine, start_time: 5.9, end_time: 6.5
Word: gander, start_time: 6.5, end_time: 7.1
