Word: cockadoodledoo, start_time: 0.30000000000000004, end_time: 1.5
Word: my, start_time: 1.5, end_time: 2.6
Word: mistress, start_time: 2.6, end_time: 3.1
Word: has, start_time: 3.1, end_time: 3.2
Word: lost, start_time: 3.2, end_time: 3.7
Word: her, start_time: 3.7, end_time: 3.9
Word: shoe, start_time: 3.9, end_time: 4.2
Word: my, start_time: 4.2, end_time: 5.4
Word: masters, start_time: 5.4, end_time: 5.9
Word: lost, start_time: 5.9, end_time: 6.3
Word: his, start_time: 6.3, end_time: 6.5
Word: fiddlestick, start_time: 6.5, end_time: 7.1
Word: and, start_time: 7.1, end_time: 7.5
Word: doesn't, start_time: 7.5, end_time: 7.8
Word: know, start_time: 7.8, end_time: 7.9
Word: what, start_time: 7.9, end_time: 8.1
Word: to, start_time: 8.1, end_time: 8.6
Word: do, start_time: 8.6, end_time: 8.7
