Word: Jackie, start_time: 0.1, end_time: 0.8
Word: come, start_time: 0.8, end_time: 1.2
Word: give, start_time: 1.2, end_time: 1.4
Word: me, start_time: 1.4, end_time: 1.6
Word: your, start_time: 1.6, end_time: 1.6
Word: fiddle, start_time: 1.6, end_time: 2.2
Word: and, start_time: 2.2, end_time: 3.0
Word: you, start_time: 3.0, end_time: 3.2
Word: shall, start_time: 3.2, end_time: 3.5
Word: have, start_time: 3.5, end_time: 3.6
Word: pennies, start_time: 3.6, end_time: 4.2
Word: 5, start_time: 4.2, end_time: 4.8
Word: no, start_time: 4.8, end_time: 5.9
Word: I'll, start_time: 5.9, end_time: 6.6
Word: not, start_time: 6.6, end_time: 6.8
Word: give, start_time: 6.8, end_time: 7.0
Word: my, start_time: 7.0, end_time: 7.3
Word: fiddle, start_time: 7.3, end_time: 7.7
Word: to, start_time: 7.7, end_time: 8.0
Word: any, start_time: 8.0, end_time: 8.5
Word: man, start_time: 8.5, end_time: 8.9
Word: alive, start_time: 8.9, end_time: 9.0
Word: if, start_time: 9.0, end_time: 10.7
Word: I, start_time: 10.7, end_time: 10.9
Word: should, start_time: 10.9, end_time: 11.2
Word: give, start_time: 11.2, end_time: 11.4
Word: my, start_time: 11.4, end_time: 11.5
Word: fiddle, start_time: 11.5, end_time: 11.9
Word: don't, start_time: 11.9, end_time: 12.9
Word: think, start_time: 12.9, end_time: 13.1
Word: I've, start_time: 13.1, end_time: 13.2
Word: lost, start_time: 13.2, end_time: 13.4
Word: my, start_time: 13.4, end_time: 13.7
Word: mind, start_time: 13.7, end_time: 13.8
Word: for, start_time: 13.8, end_time: 15.2
Word: whenever, start_time: 15.2, end_time: 15.5
Word: I, start_time: 15.5, end_time: 15.8
Word: play, start_time: 15.8, end_time: 16.2
Word: my, start_time: 16.2, end_time: 16.4
Word: fiddle, start_time: 16.4, end_time: 16.8
Word: I, start_time: 16.8, end_time: 17.3
Word: leave, start_time: 17.3, end_time: 17.6
Word: all, start_time: 17.6, end_time: 18.0
Word: my, start_time: 18.0, end_time: 18.4
Word: troubles, start_time: 18.4, end_time: 19.1
Word: behind, start_time: 19.1, end_time: 19.4
