Word: there, start_time: 0.1, end_time: 0.5
Word: was, start_time: 0.5, end_time: 0.9
Word: a, start_time: 0.9, end_time: 1.0
Word: man, start_time: 1.0, end_time: 1.1
Word: in, start_time: 1.1, end_time: 1.4
Word: our, start_time: 1.4, end_time: 1.7000000000000002
Word: town, start_time: 1.7000000000000002, end_time: 2.2
Word: and, start_time: 2.2, end_time: 2.8
Word: he, start_time: 2.8, end_time: 3.1
Word: was, start_time: 3.1, end_time: 3.4
Word: wondrous, start_time: 3.4, end_time: 4.2
Word: wise, start_time: 4.2, end_time: 4.8
Word: he, start_time: 4.8, end_time: 5.8
Word: jumped, start_time: 5.8, end_time: 6.3
Word: into, start_time: 6.3, end_time: 6.5
Word: a, start_time: 6.5, end_time: 6.7
Word: Bramble, start_time: 6.7, end_time: 7.2
Word: Bush, start_time: 7.2, end_time: 7.5
Word: and, start_time: 7.5, end_time: 7.7
Word: scratched, start_time: 7.7, end_time: 8.4
Word: out, start_time: 8.4, end_time: 8.7
Word: both, start_time: 8.7, end_time: 9.1
Word: his, start_time: 9.1, end_time: 9.3
Word: eyes, start_time: 9.3, end_time: 9.8
Word: and, start_time: 9.8, end_time: 10.7
Word: when, start_time: 10.7, end_time: 11.0
Word: he, start_time: 11.0, end_time: 11.2
Word: saw, start_time: 11.2, end_time: 11.5
Word: his, start_time: 11.5, end_time: 11.7
Word: eyes, start_time: 11.7, end_time: 12.1
Word: were, start_time: 12.1, end_time: 12.5
Word: out, start_time: 12.5, end_time: 12.9
Word: with, start_time: 12.9, end_time: 13.9
Word: all, start_time: 13.9, end_time: 14.3
Word: his, start_time: 14.3, end_time: 14.4
Word: might, start_time: 14.4, end_time: 14.6
Word: and, start_time: 14.6, end_time: 15.0
Word: Main, start_time: 15.0, end_time: 15.5
Word: he, start_time: 15.5, end_time: 16.5
Word: jumped, start_time: 16.5, end_time: 16.9
Word: into, start_time: 16.9, end_time: 17.0
Word: another, start_time: 17.0, end_time: 17.2
Word: Bush, start_time: 17.2, end_time: 17.9
Word: and, start_time: 17.9, end_time: 18.9
Word: scratch, start_time: 18.9, end_time: 19.4
Word: them, start_time: 19.4, end_time: 19.8
Word: in, start_time: 19.8, end_time: 20.2
Word: again, start_time: 20.2, end_time: 20.5
