Word: hickety, start_time: 0.2, end_time: 1.0
Word: pickety, start_time: 1.0, end_time: 1.1
Word: my, start_time: 1.1, end_time: 1.8
Word: black, start_time: 1.8, end_time: 2.3
Word: hen, start_time: 2.3, end_time: 2.7
Word: She, start_time: 2.7, end_time: 3.6
Word: lays, start_time: 3.6, end_time: 3.8
Word: eggs, start_time: 3.8, end_time: 4.4
Word: for, start_time: 4.4, end_time: 4.5
Word: gentlemen, start_time: 4.5, end_time: 5.2
Word: gentlemen, start_time: 5.2, end_time: 6.5
Word: come, start_time: 6.5, end_time: 6.8
Word: every, start_time: 6.8, end_time: 7.3
Word: day, start_time: 7.3, end_time: 7.4
Word: to, start_time: 7.4, end_time: 8.3
Word: see, start_time: 8.3, end_time: 8.6
Word: what, start_time: 8.6, end_time: 9.0
Word: my, start_time: 9.0, end_time: 9.1
Word: black, start_time: 9.1, end_time: 9.6
Word: hen, start_time: 9.6, end_time: 10.0
Word: does, start_time: 10.0, end_time: 10.3
Word: lay, start_time: 10.3, end_time: 10.6
