Word: three, start_time: 0.30000000000000004, end_time: 0.8
Word: children, start_time: 0.8, end_time: 1.1
Word: sliding, start_time: 1.1, end_time: 2.1
Word: on, start_time: 2.1, end_time: 2.3
Word: the, start_time: 2.3, end_time: 2.5
Word: ice, start_time: 2.5, end_time: 2.6
Word: all, start_time: 2.6, end_time: 3.8
Word: On, start_time: 3.8, end_time: 3.9
Word: a, start_time: 3.9, end_time: 4.0
Word: Winter's, start_time: 4.0, end_time: 4.5
Word: day, start_time: 4.5, end_time: 4.6
Word: as, start_time: 4.6, end_time: 5.9
Word: it, start_time: 5.9, end_time: 6.1
Word: fell, start_time: 6.1, end_time: 6.4
Word: out, start_time: 6.4, end_time: 6.5
Word: they, start_time: 6.5, end_time: 7.6
Word: all, start_time: 7.6, end_time: 7.8
Word: fill, start_time: 7.8, end_time: 8.2
Word: in, start_time: 8.2, end_time: 8.5
Word: the, start_time: 8.5, end_time: 9.2
Word: rest, start_time: 9.2, end_time: 9.3
Word: they, start_time: 9.3, end_time: 10.2
Word: ran, start_time: 10.2, end_time: 10.6
Word: away, start_time: 10.6, end_time: 10.8
