Word: there, start_time: 0.1, end_time: 0.5
Word: was, start_time: 0.5, end_time: 0.7000000000000001
Word: an, start_time: 0.7000000000000001, end_time: 0.8
Word: old, start_time: 0.8, end_time: 0.9
Word: man, start_time: 0.9, end_time: 1.3
Word: and, start_time: 1.3, end_time: 2.1
Word: he, start_time: 2.1, end_time: 2.3
Word: had, start_time: 2.3, end_time: 2.5
Word: a, start_time: 2.5, end_time: 2.6
Word: calf, start_time: 2.6, end_time: 3.1
Word: and, start_time: 3.1, end_time: 4.0
Word: that's, start_time: 4.0, end_time: 4.3
Word: half, start_time: 4.3, end_time: 4.8
Word: he, start_time: 4.8, end_time: 6.0
Word: took, start_time: 6.0, end_time: 6.2
Word: him, start_time: 6.2, end_time: 6.4
Word: out, start_time: 6.4, end_time: 6.6
Word: of, start_time: 6.6, end_time: 6.7
Word: the, start_time: 6.7, end_time: 6.8
Word: stall, start_time: 6.8, end_time: 7.4
Word: and, start_time: 7.4, end_time: 8.1
Word: put, start_time: 8.1, end_time: 8.2
Word: him, start_time: 8.2, end_time: 8.5
Word: on, start_time: 8.5, end_time: 8.5
Word: the, start_time: 8.5, end_time: 8.7
Word: wall, start_time: 8.7, end_time: 8.9
Word: and, start_time: 8.9, end_time: 10.1
Word: that's, start_time: 10.1, end_time: 10.6
Word: all, start_time: 10.6, end_time: 10.9
