Word: oh, start_time: 0.30000000000000004, end_time: 0.7000000000000001
Word: wow, start_time: 0.7000000000000001, end_time: 0.9
Word: wow, start_time: 0.9, end_time: 0.9
Word: dog, start_time: 2.5, end_time: 3.1
Word: art, start_time: 3.1, end_time: 3.3
Word: thou, start_time: 3.3, end_time: 3.6
Word: little, start_time: 4.8, end_time: 5.3
Word: Tom, start_time: 5.3, end_time: 5.6
Word: Tinkers, start_time: 5.6, end_time: 6.1
Word: dog, start_time: 6.1, end_time: 6.5
Word: Bow, start_time: 6.5, end_time: 7.1
Word: Wow, start_time: 7.1, end_time: 7.2
Word: Wow, start_time: 7.2, end_time: 7.3
