Word: kitty, start_time: 0.1, end_time: 0.6000000000000001
Word: cat, start_time: 0.6000000000000001, end_time: 1.0
Word: sits, start_time: 1.0, end_time: 1.7000000000000002
Word: by, start_time: 1.7000000000000002, end_time: 1.8
Word: the, start_time: 1.8, end_time: 1.9
Word: fire, start_time: 1.9, end_time: 2.0
Word: napping, start_time: 2.0, end_time: 3.6
Word: without, start_time: 3.6, end_time: 4.0
Word: a, start_time: 4.0, end_time: 4.1
Word: care, start_time: 4.1, end_time: 4.5
Word: in, start_time: 4.5, end_time: 4.8
Word: walks, start_time: 4.8, end_time: 6.1
Word: the, start_time: 6.1, end_time: 6.2
Word: little, start_time: 6.2, end_time: 6.4
Word: dog, start_time: 6.4, end_time: 6.9
Word: says, start_time: 6.9, end_time: 7.3
Word: Kitty, start_time: 7.3, end_time: 8.1
Word: are, start_time: 8.1, end_time: 8.6
Word: you, start_time: 8.6, end_time: 8.7
Word: there, start_time: 8.7, end_time: 9.0
Word: how, start_time: 9.0, end_time: 10.2
Word: do, start_time: 10.2, end_time: 10.4
Word: you, start_time: 10.4, end_time: 10.6
Word: do, start_time: 10.6, end_time: 10.8
Word: mistress, start_time: 10.8, end_time: 11.4
Word: Kitty, start_time: 11.4, end_time: 11.8
Word: mistress, start_time: 11.8, end_time: 12.8
Word: Kitty, start_time: 12.8, end_time: 13.1
Word: how, start_time: 13.1, end_time: 13.6
Word: do, start_time: 13.6, end_time: 13.8
Word: you, start_time: 13.8, end_time: 13.9
Word: do, start_time: 13.9, end_time: 14.1
Word: I, start_time: 14.1, end_time: 15.2
Word: thank, start_time: 15.2, end_time: 15.7
Word: you, start_time: 15.7, end_time: 16.0
Word: kindly, start_time: 16.0, end_time: 16.2
Word: little, start_time: 16.2, end_time: 17.0
Word: dog, start_time: 17.0, end_time: 17.5
Word: I, start_time: 17.5, end_time: 18.0
Word: do, start_time: 18.0, end_time: 18.6
Word: as, start_time: 18.6, end_time: 18.8
Word: well, start_time: 18.8, end_time: 18.9
Word: as, start_time: 18.9, end_time: 19.4
Word: you, start_time: 19.4, end_time: 19.6
