Word: little, start_time: 0.1, end_time: 0.6000000000000001
Word: boy, start_time: 0.6000000000000001, end_time: 0.8
Word: blue, start_time: 0.8, end_time: 1.1
Word: Come, start_time: 1.1, end_time: 1.5
Word: Blow, start_time: 1.5, end_time: 1.7000000000000002
Word: Your, start_time: 1.7000000000000002, end_time: 2.3
Word: Horn, start_time: 2.3, end_time: 2.5
Word: the, start_time: 2.5, end_time: 3.7
Word: Sheep's, start_time: 3.7, end_time: 4.2
Word: in, start_time: 4.2, end_time: 4.3
Word: the, start_time: 4.3, end_time: 4.4
Word: meadow, start_time: 4.4, end_time: 4.5
Word: the, start_time: 4.5, end_time: 5.3
Word: cow's, start_time: 5.3, end_time: 5.9
Word: in, start_time: 5.9, end_time: 6.0
Word: the, start_time: 6.0, end_time: 6.1
Word: corn, start_time: 6.1, end_time: 6.2
Word: is, start_time: 7.7, end_time: 7.9
Word: the, start_time: 7.9, end_time: 8.1
Word: boy, start_time: 8.1, end_time: 8.3
Word: who, start_time: 8.3, end_time: 8.5
Word: mines, start_time: 8.5, end_time: 9.1
Word: the, start_time: 9.1, end_time: 9.2
Word: Sheep, start_time: 9.2, end_time: 9.8
Word: under, start_time: 9.8, end_time: 10.9
Word: the, start_time: 10.9, end_time: 11.2
Word: haystack, start_time: 11.2, end_time: 11.5
Word: fast, start_time: 11.5, end_time: 12.7
Word: asleep, start_time: 12.7, end_time: 13.0
Word: will, start_time: 13.0, end_time: 14.5
Word: you, start_time: 14.5, end_time: 14.6
Word: wake, start_time: 14.6, end_time: 15.0
Word: him, start_time: 15.0, end_time: 15.2
Word: no, start_time: 15.2, end_time: 16.1
Word: not, start_time: 16.1, end_time: 16.9
Word: I, start_time: 16.9, end_time: 17.1
Word: for, start_time: 17.1, end_time: 18.0
Word: if, start_time: 18.0, end_time: 18.2
Word: I, start_time: 18.2, end_time: 18.4
Word: do, start_time: 18.4, end_time: 18.8
Word: he's, start_time: 18.8, end_time: 19.6
Word: sure, start_time: 19.6, end_time: 19.9
Word: to, start_time: 19.9, end_time: 20.0
Word: cry, start_time: 20.0, end_time: 20.4
