Word: The, start_time: 0.2, end_time: 0.6000000000000001
Word: Man, start_time: 0.6000000000000001, end_time: 0.9
Word: in, start_time: 0.9, end_time: 1.1
Word: the, start_time: 1.1, end_time: 1.1
Word: Moon, start_time: 1.1, end_time: 1.4
Word: came, start_time: 1.4, end_time: 2.3
Word: down, start_time: 2.3, end_time: 2.7
Word: too, start_time: 2.7, end_time: 3.0
Word: soon, start_time: 3.0, end_time: 3.3
Word: to, start_time: 3.3, end_time: 3.9
Word: inquire, start_time: 3.9, end_time: 4.6
Word: the, start_time: 4.6, end_time: 4.7
Word: way, start_time: 4.7, end_time: 4.9
Word: to, start_time: 4.9, end_time: 5.2
Word: Norwich, start_time: 5.2, end_time: 5.9
Word: the, start_time: 5.9, end_time: 6.8
Word: man, start_time: 6.8, end_time: 7.1
Word: in, start_time: 7.1, end_time: 7.3
Word: the, start_time: 7.3, end_time: 7.4
Word: South, start_time: 7.4, end_time: 8.0
Word: he, start_time: 8.0, end_time: 8.6
Word: burnt, start_time: 8.6, end_time: 9.0
Word: his, start_time: 9.0, end_time: 9.1
Word: mouth, start_time: 9.1, end_time: 9.7
Word: with, start_time: 9.7, end_time: 10.3
Word: eating, start_time: 10.3, end_time: 10.8
Word: cold, start_time: 10.8, end_time: 11.5
Word: Plum, start_time: 11.5, end_time: 11.9
Word: porridge, start_time: 11.9, end_time: 12.6
