Word: I, start_time: 0.2, end_time: 0.6000000000000001
Word: had, start_time: 0.6000000000000001, end_time: 0.9
Word: a, start_time: 0.9, end_time: 1.0
Word: little, start_time: 1.0, end_time: 1.2
Word: hen, start_time: 1.2, end_time: 1.8
Word: the, start_time: 1.8, end_time: 2.2
Word: prettiest, start_time: 2.2, end_time: 3.0
Word: ever, start_time: 3.0, end_time: 3.4
Word: seen, start_time: 3.4, end_time: 4.1
Word: she, start_time: 4.1, end_time: 5.1
Word: washed, start_time: 5.1, end_time: 5.5
Word: me, start_time: 5.5, end_time: 5.6
Word: the, start_time: 5.6, end_time: 5.8
Word: dishes, start_time: 5.8, end_time: 6.1
Word: and, start_time: 6.1, end_time: 6.4
Word: kept, start_time: 6.4, end_time: 6.8
Word: the, start_time: 6.8, end_time: 6.9
Word: house, start_time: 6.9, end_time: 7.3
Word: clean, start_time: 7.3, end_time: 7.8
Word: she, start_time: 7.8, end_time: 8.7
Word: went, start_time: 8.7, end_time: 8.9
Word: to, start_time: 8.9, end_time: 9.0
Word: the, start_time: 9.0, end_time: 9.2
Word: Garden, start_time: 9.2, end_time: 9.7
Word: to, start_time: 9.7, end_time: 10.0
Word: fetch, start_time: 10.0, end_time: 10.3
Word: me, start_time: 10.3, end_time: 10.5
Word: a, start_time: 10.5, end_time: 10.6
Word: flower, start_time: 10.6, end_time: 10.9
Word: and, start_time: 10.9, end_time: 11.6
Word: always, start_time: 11.6, end_time: 12.5
Word: got, start_time: 12.5, end_time: 12.7
Word: home, start_time: 12.7, end_time: 13.2
Word: in, start_time: 13.2, end_time: 13.4
Word: less, start_time: 13.4, end_time: 13.7
Word: than, start_time: 13.7, end_time: 13.8
Word: an, start_time: 13.8, end_time: 14.0
Word: hour, start_time: 14.0, end_time: 14.2
Word: she, start_time: 14.2, end_time: 15.7
Word: begged, start_time: 15.7, end_time: 16.0
Word: me, start_time: 16.0, end_time: 16.1
Word: my, start_time: 16.1, end_time: 16.3
Word: bread, start_time: 16.3, end_time: 16.8
Word: she, start_time: 16.8, end_time: 17.6
Word: brewed, start_time: 17.6, end_time: 18.0
Word: me, start_time: 18.0, end_time: 18.1
Word: Mighty, start_time: 18.1, end_time: 18.6
Word: she, start_time: 18.6, end_time: 19.6
Word: sat, start_time: 19.6, end_time: 20.1
Word: by, start_time: 20.1, end_time: 20.3
Word: the, start_time: 20.3, end_time: 20.5
Word: fire, start_time: 20.5, end_time: 20.7
Word: and, start_time: 20.7, end_time: 21.5
Word: sang, start_time: 21.5, end_time: 21.9
Word: Sweet, start_time: 21.9, end_time: 22.2
Word: songs, start_time: 22.2, end_time: 23.1
Word: to, start_time: 23.1, end_time: 23.2
Word: me, start_time: 23.2, end_time: 23.5
