Word: there, start_time: 0.1, end_time: 0.6000000000000001
Word: was, start_time: 0.6000000000000001, end_time: 0.8
Word: an, start_time: 0.8, end_time: 0.9
Word: old, start_time: 0.9, end_time: 1.0
Word: woman, start_time: 1.0, end_time: 1.3
Word: sold, start_time: 1.3, end_time: 2.4
Word: puddings, start_time: 2.4, end_time: 3.0
Word: and, start_time: 3.0, end_time: 3.2
Word: pies, start_time: 3.2, end_time: 3.3
Word: she, start_time: 3.3, end_time: 4.6
Word: went, start_time: 4.6, end_time: 4.9
Word: to, start_time: 4.9, end_time: 5.0
Word: the, start_time: 5.0, end_time: 5.1
Word: hill, start_time: 5.1, end_time: 5.6
Word: and, start_time: 5.6, end_time: 5.6
Word: dust, start_time: 5.6, end_time: 6.3
Word: flew, start_time: 6.3, end_time: 6.6
Word: in, start_time: 6.6, end_time: 6.8
Word: her, start_time: 6.8, end_time: 7.0
Word: eyes, start_time: 7.0, end_time: 7.5
Word: while, start_time: 7.5, end_time: 8.6
Word: all, start_time: 8.6, end_time: 8.9
Word: through, start_time: 8.9, end_time: 9.3
Word: the, start_time: 9.3, end_time: 9.5
Word: streets, start_time: 9.5, end_time: 10.1
Word: to, start_time: 10.1, end_time: 10.4
Word: all, start_time: 10.4, end_time: 10.8
Word: that, start_time: 10.8, end_time: 11.1
Word: she, start_time: 11.1, end_time: 11.3
Word: meets, start_time: 11.3, end_time: 11.8
Word: she, start_time: 11.8, end_time: 12.5
Word: always, start_time: 12.5, end_time: 13.2
Word: cries, start_time: 13.2, end_time: 13.4
Word: hot, start_time: 13.4, end_time: 14.3
Word: pies, start_time: 14.3, end_time: 15.0
Word: hot, start_time: 15.0, end_time: 15.7
Word: pies, start_time: 15.7, end_time: 16.4
