Word: little, start_time: 0.30000000000000004, end_time: 0.8
Word: nanny, start_time: 0.8, end_time: 1.2
Word: etticoat, start_time: 1.2, end_time: 1.9
Word: in, start_time: 1.9, end_time: 2.4
Word: a, start_time: 2.4, end_time: 2.5
Word: white, start_time: 2.5, end_time: 2.9
Word: Petticoat, start_time: 2.9, end_time: 3.3
Word: and, start_time: 3.3, end_time: 3.9
Word: a, start_time: 3.9, end_time: 4.0
Word: red, start_time: 4.0, end_time: 4.5
Word: nose, start_time: 4.5, end_time: 5.3
Word: the, start_time: 5.3, end_time: 6.0
Word: longer, start_time: 6.0, end_time: 6.5
Word: she, start_time: 6.5, end_time: 6.6
Word: stands, start_time: 6.6, end_time: 7.4
Word: the, start_time: 7.4, end_time: 8.0
Word: shorter, start_time: 8.0, end_time: 8.1
Word: she, start_time: 8.1, end_time: 8.9
Word: grows, start_time: 8.9, end_time: 9.0
