Word: Jack, start_time: 0.1, end_time: 0.6000000000000001
Word: Sprat, start_time: 0.6000000000000001, end_time: 1.2
Word: could, start_time: 1.2, end_time: 1.3
Word: eat, start_time: 1.3, end_time: 1.5
Word: no, start_time: 1.5, end_time: 1.6
Word: fat, start_time: 1.6, end_time: 2.1
Word: his, start_time: 2.1, end_time: 3.2
Word: wife, start_time: 3.2, end_time: 3.4
Word: could, start_time: 3.4, end_time: 4.2
Word: eat, start_time: 4.2, end_time: 4.4
Word: no, start_time: 4.4, end_time: 4.7
Word: lean, start_time: 4.7, end_time: 4.8
Word: and, start_time: 4.8, end_time: 6.2
Word: so, start_time: 6.2, end_time: 6.4
Word: between, start_time: 6.4, end_time: 7.2
Word: the, start_time: 7.2, end_time: 7.4
Word: two, start_time: 7.4, end_time: 7.5
Word: of, start_time: 7.5, end_time: 7.6
Word: them, start_time: 7.6, end_time: 7.8
Word: they, start_time: 7.8, end_time: 8.5
Word: licked, start_time: 8.5, end_time: 8.8
Word: the, start_time: 8.8, end_time: 9.0
Word: platter, start_time: 9.0, end_time: 9.3
Word: clean, start_time: 9.3, end_time: 9.5
