Word: there, start_time: 0.1, end_time: 0.5
Word: was, start_time: 0.5, end_time: 0.8
Word: a, start_time: 0.8, end_time: 0.8
Word: crooked, start_time: 0.8, end_time: 1.0
Word: man, start_time: 1.0, end_time: 1.4
Word: and, start_time: 1.4, end_time: 2.3
Word: he, start_time: 2.3, end_time: 2.5
Word: walked, start_time: 2.5, end_time: 3.0
Word: a, start_time: 3.0, end_time: 3.0
Word: crooked, start_time: 3.0, end_time: 3.2
Word: mile, start_time: 3.2, end_time: 3.9
Word: he, start_time: 3.9, end_time: 5.0
Word: found, start_time: 5.0, end_time: 5.4
Word: a, start_time: 5.4, end_time: 5.5
Word: crooked, start_time: 5.5, end_time: 5.6
Word: Sixpence, start_time: 5.6, end_time: 6.1
Word: against, start_time: 6.1, end_time: 7.1
Word: a, start_time: 7.1, end_time: 7.2
Word: crooked, start_time: 7.2, end_time: 7.5
Word: tile, start_time: 7.5, end_time: 8.2
Word: he, start_time: 8.2, end_time: 9.3
Word: bought, start_time: 9.3, end_time: 9.6
Word: a, start_time: 9.6, end_time: 9.6
Word: crooked, start_time: 9.6, end_time: 9.8
Word: cat, start_time: 9.8, end_time: 10.2
Word: which, start_time: 10.2, end_time: 11.3
Word: caught, start_time: 11.3, end_time: 11.6
Word: a, start_time: 11.6, end_time: 11.7
Word: crooked, start_time: 11.7, end_time: 12.1
Word: Mouse, start_time: 12.1, end_time: 12.4
Word: and, start_time: 12.4, end_time: 13.5
Word: they, start_time: 13.5, end_time: 13.7
Word: all, start_time: 13.7, end_time: 14.3
Word: live, start_time: 14.3, end_time: 14.6
Word: together, start_time: 14.6, end_time: 14.8
Word: in, start_time: 14.8, end_time: 15.3
Word: a, start_time: 15.3, end_time: 15.6
Word: little, start_time: 15.6, end_time: 16.2
Word: crooked, start_time: 16.2, end_time: 16.9
Word: house, start_time: 16.9, end_time: 17.5
