Word: as, start_time: 0.1, end_time: 0.5
Word: I, start_time: 0.5, end_time: 0.7000000000000001
Word: was, start_time: 0.7000000000000001, end_time: 1.0
Word: going, start_time: 1.0, end_time: 1.1
Word: to, start_time: 1.1, end_time: 1.5
Word: say., start_time: 1.5, end_time: 2.0
Word: Ives, start_time: 2.0, end_time: 2.5
Word: I, start_time: 2.5, end_time: 2.9
Word: met, start_time: 2.9, end_time: 3.1
Word: a, start_time: 3.1, end_time: 3.2
Word: man, start_time: 3.2, end_time: 3.4
Word: with, start_time: 3.4, end_time: 3.7
Word: seven, start_time: 3.7, end_time: 4.0
Word: wives, start_time: 4.0, end_time: 4.6
Word: every, start_time: 4.6, end_time: 6.2
Word: wife, start_time: 6.2, end_time: 6.6
Word: had, start_time: 6.6, end_time: 6.9
Word: seven, start_time: 6.9, end_time: 7.3
Word: sacks, start_time: 7.3, end_time: 8.1
Word: every, start_time: 8.1, end_time: 9.0
Word: sack, start_time: 9.0, end_time: 9.5
Word: had, start_time: 9.5, end_time: 9.9
Word: seven, start_time: 9.9, end_time: 10.3
Word: cats, start_time: 10.3, end_time: 10.7
Word: every, start_time: 10.7, end_time: 11.9
Word: cat, start_time: 11.9, end_time: 12.1
Word: had, start_time: 12.1, end_time: 12.8
Word: seven, start_time: 12.8, end_time: 13.2
Word: kits, start_time: 13.2, end_time: 13.8
Word: kits, start_time: 13.8, end_time: 14.9
Word: cats, start_time: 14.9, end_time: 15.5
Word: sacks, start_time: 15.5, end_time: 16.4
Word: and, start_time: 16.4, end_time: 16.6
Word: wives, start_time: 16.6, end_time: 17.2
Word: how, start_time: 17.2, end_time: 17.9
Word: many, start_time: 17.9, end_time: 18.3
Word: were, start_time: 18.3, end_time: 18.5
Word: going, start_time: 18.5, end_time: 18.8
Word: to, start_time: 18.8, end_time: 19.0
Word: st., start_time: 19.0, end_time: 19.2
Word: Ives, start_time: 19.2, end_time: 19.5
