Word: Rock-a-bye, start_time: 0.1, end_time: 1.0
Word: Baby, start_time: 1.0, end_time: 1.3
Word: on, start_time: 1.3, end_time: 2.0
Word: the, start_time: 2.0, end_time: 2.2
Word: treetop, start_time: 2.2, end_time: 2.6
Word: when, start_time: 2.6, end_time: 3.9
Word: the, start_time: 3.9, end_time: 4.1
Word: wind, start_time: 4.1, end_time: 4.5
Word: blows, start_time: 4.5, end_time: 4.9
Word: the, start_time: 4.9, end_time: 5.3
Word: cradle, start_time: 5.3, end_time: 5.4
Word: will, start_time: 5.4, end_time: 6.1
Word: rock, start_time: 6.1, end_time: 6.3
Word: when, start_time: 6.3, end_time: 7.7
Word: the, start_time: 7.7, end_time: 7.8
Word: bough, start_time: 7.8, end_time: 8.0
Word: breaks, start_time: 8.0, end_time: 8.2
Word: the, start_time: 8.2, end_time: 9.1
Word: cradle, start_time: 9.1, end_time: 9.2
Word: will, start_time: 9.2, end_time: 9.8
Word: fall, start_time: 9.8, end_time: 9.9
Word: and, start_time: 9.9, end_time: 11.3
Word: down, start_time: 11.3, end_time: 12.0
Word: will, start_time: 12.0, end_time: 12.2
Word: come, start_time: 12.2, end_time: 12.3
Word: baby, start_time: 12.3, end_time: 12.6
Word: cradle, start_time: 12.6, end_time: 13.7
Word: and, start_time: 13.7, end_time: 14.3
Word: all, start_time: 14.3, end_time: 14.4
