Word: Wee, start_time: 0.1, end_time: 0.5
Word: Willie, start_time: 0.5, end_time: 1.1
Word: Winkie, start_time: 1.1, end_time: 1.5
Word: runs, start_time: 1.5, end_time: 1.9
Word: through, start_time: 1.9, end_time: 2.3
Word: the, start_time: 2.3, end_time: 2.4
Word: town, start_time: 2.4, end_time: 2.9
Word: upstairs, start_time: 2.9, end_time: 4.2
Word: and, start_time: 4.2, end_time: 4.4
Word: downstairs, start_time: 4.4, end_time: 4.8
Word: in, start_time: 4.8, end_time: 5.6
Word: his, start_time: 5.6, end_time: 5.8
Word: nightgown, start_time: 5.8, end_time: 6.0
Word: tapping, start_time: 6.0, end_time: 7.7
Word: at, start_time: 7.7, end_time: 7.8
Word: the, start_time: 7.8, end_time: 7.8
Word: window, start_time: 7.8, end_time: 8.0
Word: crying, start_time: 8.0, end_time: 9.3
Word: at, start_time: 9.3, end_time: 9.6
Word: the, start_time: 9.6, end_time: 9.7
Word: lock, start_time: 9.7, end_time: 10.2
Word: or, start_time: 10.2, end_time: 10.9
Word: the, start_time: 10.9, end_time: 10.9
Word: children, start_time: 10.9, end_time: 11.3
Word: all, start_time: 11.3, end_time: 11.6
Word: in, start_time: 11.6, end_time: 11.9
Word: bed, start_time: 11.9, end_time: 12.1
Word: it's, start_time: 12.1, end_time: 13.0
Word: now, start_time: 13.0, end_time: 13.2
Word: eight, start_time: 13.2, end_time: 13.6
