Word: one, start_time: 0.1, end_time: 0.8
Word: Misty, start_time: 0.8, end_time: 1.4
Word: moisty, start_time: 1.4, end_time: 1.6
Word: morning, start_time: 1.6, end_time: 2.2
Word: when, start_time: 2.2, end_time: 3.1
Word: cloudy, start_time: 3.1, end_time: 3.7
Word: was, start_time: 3.7, end_time: 4.0
Word: the, start_time: 4.0, end_time: 4.1
Word: weather, start_time: 4.1, end_time: 4.4
Word: I, start_time: 4.4, end_time: 5.3
Word: happened, start_time: 5.3, end_time: 5.7
Word: to, start_time: 5.7, end_time: 5.9
Word: meet, start_time: 5.9, end_time: 6.0
Word: an, start_time: 6.0, end_time: 6.5
Word: old, start_time: 6.5, end_time: 6.8
Word: man, start_time: 6.8, end_time: 7.2
Word: closed, start_time: 7.2, end_time: 7.6
Word: all, start_time: 7.6, end_time: 8.1
Word: in, start_time: 8.1, end_time: 8.4
Word: leather, start_time: 8.4, end_time: 8.7
Word: he, start_time: 8.7, end_time: 9.8
Word: began, start_time: 9.8, end_time: 10.3
Word: to, start_time: 10.3, end_time: 10.4
Word: compliment, start_time: 10.4, end_time: 10.8
Word: and, start_time: 10.8, end_time: 11.6
Word: I, start_time: 11.6, end_time: 11.8
Word: began, start_time: 11.8, end_time: 12.4
Word: to, start_time: 12.4, end_time: 12.6
Word: grin, start_time: 12.6, end_time: 13.1
Word: how, start_time: 13.1, end_time: 14.0
Word: do, start_time: 14.0, end_time: 14.1
Word: you, start_time: 14.1, end_time: 14.2
Word: do, start_time: 14.2, end_time: 14.4
Word: and, start_time: 14.4, end_time: 15.1
Word: how, start_time: 15.1, end_time: 15.4
Word: do, start_time: 15.4, end_time: 15.5
Word: you, start_time: 15.5, end_time: 15.6
Word: do, start_time: 15.6, end_time: 15.8
Word: how, start_time: 15.8, end_time: 17.0
Word: do, start_time: 17.0, end_time: 17.1
Word: you, start_time: 17.1, end_time: 17.2
Word: do, start_time: 17.2, end_time: 17.4
Word: again, start_time: 17.4, end_time: 17.8
